file,row,col,value,corrected
collected_csvs\january\january_precipitation_3.csv,13,2,"1.8
0.15",0
collected_csvs\january\january_precipitation_3.csv,15,2,"20
02",0
collected_csvs\january\january_precipitation_3.csv,16,2,"0.6
03",0
collected_csvs\january\january_precipitation_3.csv,17,2,"9.0
54",0
collected_csvs\january\january_precipitation_3.csv,18,2,"3.7
23.",0
collected_csvs\january\january_precipitation_3.csv,1,3,"76
1.78",0
collected_csvs\january\january_precipitation_3.csv,18,3,"5
031",0
collected_csvs\january\january_precipitation_3.csv,19,3,"1.00
23",0
collected_csvs\january\january_precipitation_3.csv,20,3,Th,0
collected_csvs\january\january_precipitation_3.csv,10,4,"3.7
20",0
collected_csvs\january\january_precipitation_3.csv,11,4,"3.0
0.30",0
collected_csvs\january\january_precipitation_3.csv,18,4,".5
23",0
collected_csvs\january\january_precipitation_3.csv,5,5,".04
ex",0
collected_csvs\january\january_precipitation_3.csv,7,5,T,0
collected_csvs\january\january_precipitation_3.csv,9,5,"1.50
15",0
collected_csvs\january\january_precipitation_3.csv,10,5,"0.8
06",0
collected_csvs\january\january_precipitation_3.csv,16,5,"3.2
30",0
collected_csvs\january\january_precipitation_3.csv,10,6,to,0
collected_csvs\january\january_precipitation_3.csv,11,6,"3.0
0.30",0
collected_csvs\january\january_precipitation_3.csv,12,6,".10
10°",0
collected_csvs\january\january_precipitation_3.csv,15,6,"Tr
T",0
collected_csvs\january\january_precipitation_3.csv,4,7,T,0
collected_csvs\january\january_precipitation_3.csv,8,7,as,0
collected_csvs\january\january_precipitation_3.csv,9,7,"4.0
44",0
collected_csvs\january\january_precipitation_3.csv,10,7,"0.1
10'",0
collected_csvs\january\january_precipitation_3.csv,11,7,"0.25
0.02",0
collected_csvs\january\january_precipitation_3.csv,14,7,"2.5
25",0
collected_csvs\january\january_precipitation_3.csv,15,7,"3,0
30",0
collected_csvs\january\january_precipitation_3.csv,18,7,"2.5
09",0
collected_csvs\january\january_precipitation_3.csv,3,8,"7.1
.35",0
collected_csvs\january\january_precipitation_3.csv,9,8,"1.0
16",0
collected_csvs\january\january_precipitation_3.csv,11,8,"T2
12",0
collected_csvs\january\january_precipitation_3.csv,14,8,"2.0
20",0
collected_csvs\january\january_precipitation_3.csv,17,8,"Tr.
106",0
collected_csvs\january\january_precipitation_3.csv,18,8,"2.3
•m m
23",0
collected_csvs\january\january_precipitation_3.csv,20,8,10°,0
collected_csvs\january\january_precipitation_3.csv,3,9,"28
25",0
collected_csvs\january\january_precipitation_3.csv,8,9,"4
04",0
collected_csvs\january\january_precipitation_3.csv,10,9,"2.4
0.20",0
collected_csvs\january\january_precipitation_3.csv,14,9,"3.0
30",0
collected_csvs\january\january_precipitation_3.csv,18,9,"1.7
,07",0
collected_csvs\january\january_precipitation_3.csv,20,9,"1.0
.03",0
collected_csvs\january\january_precipitation_3.csv,1,10,"a
05",0
collected_csvs\january\january_precipitation_3.csv,4,10,"T
25",0
collected_csvs\january\january_precipitation_3.csv,7,10,T,0
collected_csvs\january\january_precipitation_3.csv,8,10,"2.3
.23",0
collected_csvs\january\january_precipitation_3.csv,10,10,"0,3
0.03",0
collected_csvs\january\january_precipitation_3.csv,18,10,"2.0
16",0
collected_csvs\january\january_precipitation_3.csv,3,11,"5
54",0
collected_csvs\january\january_precipitation_3.csv,8,11,"20
25",0
collected_csvs\january\january_precipitation_3.csv,10,11,T,0
collected_csvs\january\january_precipitation_3.csv,14,11,Tr.,0
collected_csvs\january\january_precipitation_3.csv,18,11,"1.0
.08",0
collected_csvs\january\january_precipitation_3.csv,20,11,"1.0
.07",0
collected_csvs\january\january_precipitation_3.csv,3,12,".5
07",0
collected_csvs\january\january_precipitation_3.csv,15,12,"1,0
10",0
collected_csvs\january\january_precipitation_3.csv,16,12,"1.2
1.06",0
collected_csvs\january\january_precipitation_3.csv,18,12,"1.0
28",0
collected_csvs\january\january_precipitation_3.csv,19,12,"1.5
02",0
collected_csvs\january\january_precipitation_3.csv,20,12,"1.4
.08",0
collected_csvs\january\january_precipitation_3.csv,3,13,TO,0
collected_csvs\january\january_precipitation_3.csv,8,13,"3.0
30",0
collected_csvs\january\january_precipitation_3.csv,13,13,20-30,0
collected_csvs\january\january_precipitation_3.csv,18,13,"3.0
23",0
collected_csvs\january\january_precipitation_3.csv,20,13,"2.0
09",0
collected_csvs\january\january_precipitation_3.csv,3,14,"TO
0./",0
collected_csvs\january\january_precipitation_3.csv,7,14,"./
12",0
collected_csvs\january\january_precipitation_3.csv,18,14,"2.0
17",0
collected_csvs\january\january_precipitation_3.csv,5,15,"4½
40",0
collected_csvs\january\january_precipitation_3.csv,15,15,"2. R
22",0
collected_csvs\january\january_precipitation_3.csv,18,15,"2.0
.18",0
collected_csvs\january\january_precipitation_3.csv,20,15,"1.0
.02",0
collected_csvs\january\january_precipitation_3.csv,3,16,"1.5
12",0
collected_csvs\january\january_precipitation_3.csv,5,16,"6
54",0
collected_csvs\january\january_precipitation_3.csv,7,16,T,0
collected_csvs\january\january_precipitation_3.csv,8,16,T,0
collected_csvs\january\january_precipitation_3.csv,9,16,"10
07",0
collected_csvs\january\january_precipitation_3.csv,11,16,"T2
0.02",0
collected_csvs\january\january_precipitation_3.csv,12,16,TR,0
collected_csvs\january\january_precipitation_3.csv,17,16,"75
08",0
collected_csvs\january\january_precipitation_3.csv,20,16,"1.7
10",0
collected_csvs\january\january_precipitation_3.csv,3,17,"10
10",0
collected_csvs\january\january_precipitation_3.csv,7,17,".3
.03",0
collected_csvs\january\january_precipitation_3.csv,8,17,T,0
collected_csvs\january\january_precipitation_3.csv,9,17,T,0
collected_csvs\january\january_precipitation_3.csv,13,17,TR.,0
collected_csvs\january\january_precipitation_3.csv,18,17,"5.7
30",0
collected_csvs\january\january_precipitation_3.csv,3,18,"10.3
03",0
collected_csvs\january\january_precipitation_3.csv,5,18,"4
.36",0
collected_csvs\january\january_precipitation_3.csv,7,18,"1.3
.12",0
collected_csvs\january\january_precipitation_3.csv,12,18,TR,0
collected_csvs\january\january_precipitation_3.csv,17,18,"2
4",0
collected_csvs\january\january_precipitation_3.csv,18,18,"2.4.
20",0
collected_csvs\january\january_precipitation_3.csv,20,18,Tr.,0
collected_csvs\january\january_precipitation_3.csv,5,19,"4
.36",0
collected_csvs\january\january_precipitation_3.csv,7,19,".2
.08",0
collected_csvs\january\january_precipitation_3.csv,13,19,"1,0.
0.09",0
collected_csvs\january\january_precipitation_3.csv,18,19,"1.8
04",0
collected_csvs\january\january_precipitation_3.csv,4,20,"3.
34",0
collected_csvs\january\january_precipitation_3.csv,11,20,"Tr
Ta",0
collected_csvs\january\january_precipitation_3.csv,18,20,"3.2
25",0
collected_csvs\january\january_precipitation_3.csv,20,20,Th,0
collected_csvs\january\january_precipitation_3.csv,9,21,T,0
collected_csvs\january\january_precipitation_3.csv,11,21,"6.5
0.96",0
collected_csvs\january\january_precipitation_3.csv,17,21,Th,0
collected_csvs\january\january_precipitation_3.csv,18,21,"1.5
46",0
collected_csvs\january\january_precipitation_3.csv,20,21,".2
1.01",0
collected_csvs\january\january_precipitation_3.csv,1,22,"1.5
15",0
collected_csvs\january\january_precipitation_3.csv,5,22,"71°
2",0
collected_csvs\january\january_precipitation_3.csv,9,22,T,0
collected_csvs\january\january_precipitation_3.csv,11,22,"4.0
0.40",0
collected_csvs\january\january_precipitation_3.csv,17,22,I,0
collected_csvs\january\january_precipitation_3.csv,18,22,Tr.,0
collected_csvs\january\january_precipitation_3.csv,19,22,Tr.,0
collected_csvs\january\january_precipitation_3.csv,8,23,T,0
collected_csvs\january\january_precipitation_3.csv,9,23,T,0
collected_csvs\january\january_precipitation_3.csv,11,23,"0.75
0.07",0
collected_csvs\january\january_precipitation_3.csv,17,23,Tr.,0
collected_csvs\january\january_precipitation_3.csv,20,23,"1.7
.06",0
collected_csvs\january\january_precipitation_3.csv,5,24,"2
16",0
collected_csvs\january\january_precipitation_3.csv,9,24,T,0
collected_csvs\january\january_precipitation_3.csv,11,24,"0.50
0.05",0
collected_csvs\january\january_precipitation_3.csv,18,24,"2.9
26",0
collected_csvs\january\january_precipitation_3.csv,11,25,"0.50
0.05",0
collected_csvs\january\january_precipitation_3.csv,12,25,"TR.
TR",0
collected_csvs\january\january_precipitation_3.csv,16,25,tr.,0
collected_csvs\january\january_precipitation_3.csv,18,25,"07
bo.
60",0
collected_csvs\january\january_precipitation_3.csv,20,25,"Tr
20",0
collected_csvs\january\january_precipitation_3.csv,1,26,".75
075",0
collected_csvs\january\january_precipitation_3.csv,5,26,70°,0
collected_csvs\january\january_precipitation_3.csv,8,26,"1.5
13",0
collected_csvs\january\january_precipitation_3.csv,12,26,TR.,0
collected_csvs\january\january_precipitation_3.csv,15,26,"Th
45",0
collected_csvs\january\january_precipitation_3.csv,5,27,tr,0
collected_csvs\january\january_precipitation_3.csv,10,27,T,0
collected_csvs\january\january_precipitation_3.csv,12,27,"TR.
TR",0
collected_csvs\january\january_precipitation_3.csv,14,27,"-20
.02",0
collected_csvs\january\january_precipitation_3.csv,18,27,"2.5
23",0
collected_csvs\january\january_precipitation_3.csv,1,28,"5.0
50",0
collected_csvs\january\january_precipitation_3.csv,9,28,T,0
collected_csvs\january\january_precipitation_3.csv,11,28,"1.75
8.17",0
collected_csvs\january\january_precipitation_3.csv,14,28,"50
05",0
collected_csvs\january\january_precipitation_3.csv,17,28,"2.5
10",0
collected_csvs\january\january_precipitation_3.csv,18,28,"1.5
.10",0
collected_csvs\january\january_precipitation_3.csv,5,29,"3/4
06",0
collected_csvs\january\january_precipitation_3.csv,11,29,"2.0
0.20",0
collected_csvs\january\january_precipitation_3.csv,14,29,"N.
Tv.",0
collected_csvs\january\january_precipitation_3.csv,18,29,"1.7
15",0
collected_csvs\january\january_precipitation_3.csv,1,30,"3.0
30",0
collected_csvs\january\january_precipitation_3.csv,10,30,T,0
collected_csvs\january\january_precipitation_3.csv,11,30,"4.0
0.40",0
collected_csvs\january\january_precipitation_3.csv,14,30,"1.5
.15",0
collected_csvs\january\january_precipitation_3.csv,6,31,"10%
0.1",0
collected_csvs\january\january_precipitation_3.csv,7,31,T,0
collected_csvs\january\january_precipitation_3.csv,1,32,"5.0
50",0
collected_csvs\january\january_precipitation_3.csv,6,32,"5
s",0
collected_csvs\january\january_precipitation_3.csv,14,32,"20
102",0
collected_csvs\january\january_precipitation_3.csv,15,32,Tr,0
collected_csvs\january\january_precipitation_3.csv,17,32,TY,0
collected_csvs\february\february_max_1.csv,18,31,Min,0
collected_csvs\february\february_max_2.csv,1,24,×,0
collected_csvs\april\april_precipitation_1.csv,2,2,ho,0
collected_csvs\april\april_precipitation_1.csv,9,4,trace,0
collected_csvs\april\april_precipitation_1.csv,12,4,trace,0
collected_csvs\april\april_precipitation_1.csv,18,4,"07
0%",0
collected_csvs\april\april_precipitation_1.csv,18,5,15°,0
collected_csvs\april\april_precipitation_1.csv,12,6,Gr,0
collected_csvs\april\april_precipitation_1.csv,16,6,tr.,0
collected_csvs\april\april_precipitation_1.csv,1,8,",36",0
collected_csvs\april\april_precipitation_1.csv,18,8,15°,0
collected_csvs\april\april_precipitation_1.csv,1,11,90',0
collected_csvs\april\april_precipitation_1.csv,8,14,"5
8.9",0
collected_csvs\april\april_precipitation_1.csv,11,14,trac,0
collected_csvs\april\april_precipitation_1.csv,13,15,trac,0
collected_csvs\april\april_precipitation_1.csv,1,16,70%,0
collected_csvs\april\april_precipitation_1.csv,20,20,bo,0
collected_csvs\april\april_precipitation_1.csv,8,21,"05
30",0
collected_csvs\april\april_precipitation_1.csv,5,22,90',0
collected_csvs\april\april_precipitation_1.csv,9,23,trace,0
collected_csvs\april\april_precipitation_1.csv,13,26,trac,0
collected_csvs\april\april_precipitation_1.csv,11,27,tra,0
collected_csvs\april\april_precipitation_1.csv,13,28,"trac
01",0
collected_csvs\april\april_precipitation_1.csv,16,28,Tr,0
collected_csvs\april\april_precipitation_1.csv,20,30,"2
27",0
collected_csvs\april\april_precipitation_2.csv,8,5,"2.003
67",0
collected_csvs\april\april_precipitation_2.csv,10,8,/2,0
collected_csvs\april\april_precipitation_2.csv,15,9,"2
20",0
collected_csvs\april\april_precipitation_2.csv,16,10,S,0
collected_csvs\april\april_precipitation_2.csv,4,11,2/,0
collected_csvs\april\april_precipitation_2.csv,14,12,tr,0
collected_csvs\april\april_precipitation_2.csv,17,12,"1.25
12",0
collected_csvs\april\april_precipitation_2.csv,5,14,S,0
collected_csvs\april\april_precipitation_2.csv,20,15,·07,0
collected_csvs\april\april_precipitation_2.csv,15,16,90°,0
collected_csvs\april\april_precipitation_2.csv,10,22,ho',0
collected_csvs\april\april_precipitation_3.csv,13,2,"TR.
Te",0
collected_csvs\april\april_precipitation_3.csv,18,3,"Tr.
03",0
collected_csvs\april\april_precipitation_3.csv,4,4,"14
05",0
collected_csvs\april\april_precipitation_3.csv,16,4,".5
25",0
collected_csvs\april\april_precipitation_3.csv,18,4,Tr.,0
collected_csvs\april\april_precipitation_3.csv,6,5,"Ja
2",0
collected_csvs\april\april_precipitation_3.csv,15,5,"2.5
15",0
collected_csvs\april\april_precipitation_3.csv,3,6,//,0
collected_csvs\april\april_precipitation_3.csv,9,6,10°,0
collected_csvs\april\april_precipitation_3.csv,11,6,T,0
collected_csvs\april\april_precipitation_3.csv,15,6,Tr,0
collected_csvs\april\april_precipitation_3.csv,11,7,T,0
collected_csvs\april\april_precipitation_3.csv,1,8,".6
.06",0
collected_csvs\april\april_precipitation_3.csv,16,8,".7
09",0
collected_csvs\april\april_precipitation_3.csv,18,8,"77
90",0
collected_csvs\april\april_precipitation_3.csv,1,9,".2
.02",0
collected_csvs\april\april_precipitation_3.csv,11,9,T,0
collected_csvs\april\april_precipitation_3.csv,15,9,Tr,0
collected_csvs\april\april_precipitation_3.csv,18,9,Tr,0
collected_csvs\april\april_precipitation_3.csv,6,10,10°,0
collected_csvs\april\april_precipitation_3.csv,9,10,T,0
collected_csvs\april\april_precipitation_3.csv,5,11,II,0
collected_csvs\april\april_precipitation_3.csv,11,11,T,0
collected_csvs\april\april_precipitation_3.csv,16,11,To,0
collected_csvs\april\april_precipitation_3.csv,1,13,".2
.02",0
collected_csvs\april\april_precipitation_3.csv,7,13,"2.0
40",0
collected_csvs\april\april_precipitation_3.csv,9,13,T,0
collected_csvs\april\april_precipitation_3.csv,7,14,T,0
collected_csvs\april\april_precipitation_3.csv,9,14,T,0
collected_csvs\april\april_precipitation_3.csv,10,14,T,0
collected_csvs\april\april_precipitation_3.csv,17,15,rr.,0
collected_csvs\april\april_precipitation_3.csv,18,15,Th,0
collected_csvs\april\april_precipitation_3.csv,5,16,LS',0
collected_csvs\april\april_precipitation_3.csv,9,16,10',0
collected_csvs\april\april_precipitation_3.csv,13,16,Te,0
collected_csvs\april\april_precipitation_3.csv,20,16,To,0
collected_csvs\april\april_precipitation_3.csv,13,17,e.,0
collected_csvs\april\april_precipitation_3.csv,1,18,trace,0
collected_csvs\april\april_precipitation_3.csv,9,18,T,0
collected_csvs\april\april_precipitation_3.csv,10,18,"0,33",0
collected_csvs\april\april_precipitation_3.csv,12,18,TR,0
collected_csvs\april\april_precipitation_3.csv,15,18,Tr,0
collected_csvs\april\april_precipitation_3.csv,12,19,TR,0
collected_csvs\april\april_precipitation_3.csv,11,20,T,0
collected_csvs\april\april_precipitation_3.csv,5,21,70°,0
collected_csvs\april\april_precipitation_3.csv,8,21,T,0
collected_csvs\april\april_precipitation_3.csv,14,21,IN,0
collected_csvs\april\april_precipitation_3.csv,5,22,TH,0
collected_csvs\april\april_precipitation_3.csv,10,23,"T
0.03",0
collected_csvs\april\april_precipitation_3.csv,10,24,T,0
collected_csvs\april\april_precipitation_3.csv,11,24,T,0
collected_csvs\april\april_precipitation_3.csv,7,25,T,0
collected_csvs\april\april_precipitation_3.csv,14,27,IN,0
collected_csvs\april\april_precipitation_3.csv,16,27,Tr,0
collected_csvs\april\april_precipitation_3.csv,10,28,T,0
collected_csvs\april\april_precipitation_3.csv,19,28,"T
17",0
collected_csvs\april\april_precipitation_3.csv,4,29,"A:
So",0
collected_csvs\april\april_precipitation_3.csv,8,29,8/1,0
collected_csvs\april\april_precipitation_3.csv,10,29,T,0
collected_csvs\april\april_precipitation_3.csv,19,29,Th,0
collected_csvs\april\april_precipitation_3.csv,15,30,90',0
collected_csvs\april\april_precipitation_3.csv,11,31,T,0
collected_csvs\april\april_precipitation_3.csv,20,31,Th,0
collected_csvs\may\may_precipitation_1.csv,10,4,ST,0
collected_csvs\may\may_precipitation_1.csv,18,6,06th,0
collected_csvs\may\may_precipitation_1.csv,11,7,trac,0
collected_csvs\may\may_precipitation_1.csv,17,7,To,0
collected_csvs\may\may_precipitation_1.csv,11,9,trac,0
collected_csvs\may\may_precipitation_1.csv,14,11,tr,0
collected_csvs\may\may_precipitation_1.csv,13,13,T,0
collected_csvs\may\may_precipitation_1.csv,12,14,",02",0
collected_csvs\may\may_precipitation_1.csv,13,14,T,0
collected_csvs\may\may_precipitation_1.csv,13,15,T,0
collected_csvs\may\may_precipitation_1.csv,16,17,al,0
collected_csvs\may\may_precipitation_1.csv,13,18,"10
10",0
collected_csvs\may\may_precipitation_1.csv,2,21,",21",0
collected_csvs\may\may_precipitation_1.csv,13,22,IT',0
collected_csvs\may\may_precipitation_1.csv,12,24,Face,0
collected_csvs\may\may_precipitation_1.csv,16,24,tr.,0
collected_csvs\may\may_precipitation_1.csv,19,26,-05°,0
collected_csvs\may\may_precipitation_1.csv,14,28,ti,0
collected_csvs\may\may_precipitation_1.csv,14,32,tr,0
collected_csvs\may\may_precipitation_2.csv,17,6,3x6,0
collected_csvs\may\may_precipitation_2.csv,1,9,80',0
collected_csvs\may\may_precipitation_2.csv,9,11,80',0
collected_csvs\may\may_precipitation_2.csv,14,15,tr,0
collected_csvs\may\may_precipitation_2.csv,6,16,"9
67",0
collected_csvs\may\may_precipitation_2.csv,9,17,58',0
collected_csvs\may\may_precipitation_2.csv,13,21,5 3,0
collected_csvs\may\may_precipitation_2.csv,20,22,.7/,0
collected_csvs\may\may_precipitation_2.csv,2,23,IT,0
collected_csvs\may\may_precipitation_2.csv,15,24,"To
TOT",0
collected_csvs\may\may_precipitation_2.csv,3,25,/2,0
collected_csvs\may\may_precipitation_2.csv,17,25,trace,0
collected_csvs\may\may_precipitation_2.csv,18,32,2/,0
collected_csvs\may\may_precipitation_3.csv,11,3,"To
0.01",0
collected_csvs\may\may_precipitation_3.csv,15,3,Tr,0
collected_csvs\may\may_precipitation_3.csv,7,4,T,0
collected_csvs\may\may_precipitation_3.csv,20,5,Tr.,0
collected_csvs\may\may_precipitation_3.csv,20,7,Tr,0
collected_csvs\may\may_precipitation_3.csv,10,9,T,0
collected_csvs\may\may_precipitation_3.csv,11,9,T,0
collected_csvs\may\may_precipitation_3.csv,16,9,85°,0
collected_csvs\may\may_precipitation_3.csv,9,10,T,0
collected_csvs\may\may_precipitation_3.csv,15,10,"10
10",0
collected_csvs\may\may_precipitation_3.csv,2,11,10°,0
collected_csvs\may\may_precipitation_3.csv,11,11,T,0
collected_csvs\may\may_precipitation_3.csv,13,11,TR.,0
collected_csvs\may\may_precipitation_3.csv,15,11,Tr,0
collected_csvs\may\may_precipitation_3.csv,2,12,80°,0
collected_csvs\may\may_precipitation_3.csv,13,12,TR.,0
collected_csvs\may\may_precipitation_3.csv,20,12,Th,0
collected_csvs\may\may_precipitation_3.csv,13,13,TR.,0
collected_csvs\may\may_precipitation_3.csv,15,13,Tr,0
collected_csvs\may\may_precipitation_3.csv,20,13,Tr,0
collected_csvs\may\may_precipitation_3.csv,5,14,01',0
collected_csvs\may\may_precipitation_3.csv,13,14,TH,0
collected_csvs\may\may_precipitation_3.csv,16,14,3/,0
collected_csvs\may\may_precipitation_3.csv,12,15,TR,0
collected_csvs\may\may_precipitation_3.csv,11,16,T,0
collected_csvs\may\may_precipitation_3.csv,10,17,T,0
collected_csvs\may\may_precipitation_3.csv,10,18,T,0
collected_csvs\may\may_precipitation_3.csv,6,19,HE,0
collected_csvs\may\may_precipitation_3.csv,7,19,T,0
collected_csvs\may\may_precipitation_3.csv,19,19,Tr.,0
collected_csvs\may\may_precipitation_3.csv,15,20,Tr,0
collected_csvs\may\may_precipitation_3.csv,20,21,80°,0
collected_csvs\may\may_precipitation_3.csv,11,22,T,0
collected_csvs\may\may_precipitation_3.csv,7,24,T,0
collected_csvs\may\may_precipitation_3.csv,13,24,TR,0
collected_csvs\may\may_precipitation_3.csv,14,24,Tv.,0
collected_csvs\may\may_precipitation_3.csv,15,24,T,0
collected_csvs\may\may_precipitation_3.csv,9,25,T,0
collected_csvs\may\may_precipitation_3.csv,14,25,TN,0
collected_csvs\may\may_precipitation_3.csv,8,26,",05",0
collected_csvs\may\may_precipitation_3.csv,10,26,T,0
collected_csvs\may\may_precipitation_3.csv,12,26,TR.,0
collected_csvs\may\may_precipitation_3.csv,7,27,60%,0
collected_csvs\may\may_precipitation_3.csv,13,27,TR,0
collected_csvs\may\may_precipitation_3.csv,14,27,TN,0
collected_csvs\may\may_precipitation_3.csv,9,28,3/,0
collected_csvs\may\may_precipitation_3.csv,10,29,T,0
collected_csvs\may\may_precipitation_3.csv,14,29,to,0
collected_csvs\may\may_precipitation_3.csv,9,30,91',0
collected_csvs\may\may_precipitation_3.csv,14,30,IN,0
collected_csvs\may\may_precipitation_3.csv,17,30,Tr,0
collected_csvs\may\may_precipitation_3.csv,12,32,Cool,0
collected_csvs\may\may_precipitation_3.csv,17,32,OA,0
collected_csvs\june\june_precipitation_1.csv,5,2,trac,0
collected_csvs\june\june_precipitation_1.csv,11,2,trac,0
collected_csvs\june\june_precipitation_1.csv,11,3,trace,0
collected_csvs\june\june_precipitation_1.csv,10,4,trac,0
collected_csvs\june\june_precipitation_1.csv,16,5,./2,0
collected_csvs\june\june_precipitation_1.csv,12,6,trac,0
collected_csvs\june\june_precipitation_1.csv,14,6,tr.,0
collected_csvs\june\june_precipitation_1.csv,14,7,tr,0
collected_csvs\june\june_precipitation_1.csv,14,10,tr,0
collected_csvs\june\june_precipitation_1.csv,2,12,tra,0
collected_csvs\june\june_precipitation_1.csv,14,14,tr.,0
collected_csvs\june\june_precipitation_1.csv,20,15,1/,0
collected_csvs\june\june_precipitation_1.csv,12,17,trac,0
collected_csvs\june\june_precipitation_1.csv,17,17,tr,0
collected_csvs\june\june_precipitation_1.csv,2,18,trace,0
collected_csvs\june\june_precipitation_1.csv,14,19,tri,0
collected_csvs\june\june_precipitation_1.csv,5,22,90',0
collected_csvs\june\june_precipitation_1.csv,14,22,91',0
