file,row,col,value
collected_csvs\january\january_precipitation_2.csv,10,18,"4,5"
collected_csvs\january\january_precipitation_2.csv,15,18,"1,5"
collected_csvs\january\january_precipitation_2.csv,10,19,0%
collected_csvs\january\january_precipitation_2.csv,19,19,10'
collected_csvs\january\january_precipitation_2.csv,7,21,"1.5
30"
collected_csvs\january\january_precipitation_2.csv,10,21,"2,0"
collected_csvs\january\january_precipitation_2.csv,2,22,"2
36"
collected_csvs\january\january_precipitation_2.csv,20,22,90°
collected_csvs\january\january_precipitation_2.csv,19,23,",39"
collected_csvs\january\january_precipitation_2.csv,4,24,ZZ
collected_csvs\january\january_precipitation_2.csv,8,24,",38"
collected_csvs\january\january_precipitation_2.csv,5,25,"2,0"
collected_csvs\january\january_precipitation_2.csv,2,26,LL
collected_csvs\january\january_precipitation_2.csv,17,26,Z
collected_csvs\january\january_precipitation_2.csv,6,27,"2,0"
collected_csvs\january\january_precipitation_2.csv,8,27,4. Sm
collected_csvs\january\january_precipitation_2.csv,10,27,"2,0"
collected_csvs\january\january_precipitation_2.csv,13,27,"00%
8"
collected_csvs\january\january_precipitation_2.csv,20,27,80°
collected_csvs\january\january_precipitation_2.csv,10,28,"3,0"
collected_csvs\january\january_precipitation_2.csv,6,29,"09
T"
collected_csvs\january\january_precipitation_3.csv,1,2,30°
collected_csvs\january\january_precipitation_3.csv,5,2,.0/
collected_csvs\january\january_precipitation_3.csv,13,2,"1.8
0.15"
collected_csvs\january\january_precipitation_3.csv,15,2,"20
02"
collected_csvs\january\january_precipitation_3.csv,16,2,"0.6
03"
collected_csvs\january\january_precipitation_3.csv,17,2,"9.0
54"
collected_csvs\january\january_precipitation_3.csv,18,2,"3.7
23."
collected_csvs\january\january_precipitation_3.csv,1,3,"76
1.78"
collected_csvs\january\january_precipitation_3.csv,18,3,"5
031"
collected_csvs\january\january_precipitation_3.csv,19,3,"1.00
23"
collected_csvs\january\january_precipitation_3.csv,20,3,Th
collected_csvs\january\january_precipitation_3.csv,10,4,"3.7
20"
collected_csvs\january\january_precipitation_3.csv,11,4,"3.0
0.30"
collected_csvs\january\january_precipitation_3.csv,18,4,".5
23"
collected_csvs\january\january_precipitation_3.csv,5,5,".04
ex"
collected_csvs\january\january_precipitation_3.csv,7,5,T
collected_csvs\january\january_precipitation_3.csv,9,5,"1.50
15"
collected_csvs\january\january_precipitation_3.csv,10,5,"0.8
06"
collected_csvs\january\january_precipitation_3.csv,16,5,"3.2
30"
collected_csvs\january\january_precipitation_3.csv,10,6,to
collected_csvs\january\january_precipitation_3.csv,11,6,"3.0
0.30"
collected_csvs\january\january_precipitation_3.csv,12,6,".10
10°"
collected_csvs\january\january_precipitation_3.csv,15,6,"Tr
T"
collected_csvs\january\january_precipitation_3.csv,4,7,T
collected_csvs\january\january_precipitation_3.csv,8,7,as
collected_csvs\january\january_precipitation_3.csv,9,7,"4.0
44"
collected_csvs\january\january_precipitation_3.csv,10,7,"0.1
10'"
collected_csvs\january\january_precipitation_3.csv,11,7,"0.25
0.02"
collected_csvs\january\january_precipitation_3.csv,14,7,"2.5
25"
collected_csvs\january\january_precipitation_3.csv,15,7,"3,0
30"
collected_csvs\january\january_precipitation_3.csv,18,7,"2.5
09"
collected_csvs\january\january_precipitation_3.csv,3,8,"7.1
.35"
collected_csvs\january\january_precipitation_3.csv,9,8,"1.0
16"
collected_csvs\january\january_precipitation_3.csv,11,8,"T2
12"
collected_csvs\january\january_precipitation_3.csv,14,8,"2.0
20"
collected_csvs\january\january_precipitation_3.csv,17,8,"Tr.
106"
collected_csvs\january\january_precipitation_3.csv,18,8,"2.3
•m m
23"
collected_csvs\january\january_precipitation_3.csv,20,8,10°
collected_csvs\january\january_precipitation_3.csv,3,9,"28
25"
collected_csvs\january\january_precipitation_3.csv,8,9,"4
04"
collected_csvs\january\january_precipitation_3.csv,10,9,"2.4
0.20"
collected_csvs\january\january_precipitation_3.csv,14,9,"3.0
30"
collected_csvs\january\january_precipitation_3.csv,18,9,"1.7
,07"
collected_csvs\january\january_precipitation_3.csv,20,9,"1.0
.03"
collected_csvs\january\january_precipitation_3.csv,1,10,"a
05"
collected_csvs\january\january_precipitation_3.csv,4,10,"T
25"
collected_csvs\january\january_precipitation_3.csv,7,10,T
collected_csvs\january\january_precipitation_3.csv,8,10,"2.3
.23"
collected_csvs\january\january_precipitation_3.csv,10,10,"0,3
0.03"
collected_csvs\january\january_precipitation_3.csv,18,10,"2.0
16"
collected_csvs\january\january_precipitation_3.csv,3,11,"5
54"
collected_csvs\january\january_precipitation_3.csv,8,11,"20
25"
collected_csvs\january\january_precipitation_3.csv,10,11,T
collected_csvs\january\january_precipitation_3.csv,14,11,Tr.
collected_csvs\january\january_precipitation_3.csv,18,11,"1.0
.08"
collected_csvs\january\january_precipitation_3.csv,20,11,"1.0
.07"
collected_csvs\january\january_precipitation_3.csv,3,12,".5
07"
collected_csvs\january\january_precipitation_3.csv,15,12,"1,0
10"
collected_csvs\january\january_precipitation_3.csv,16,12,"1.2
1.06"
collected_csvs\january\january_precipitation_3.csv,18,12,"1.0
28"
collected_csvs\january\january_precipitation_3.csv,19,12,"1.5
02"
collected_csvs\january\january_precipitation_3.csv,20,12,"1.4
.08"
collected_csvs\january\january_precipitation_3.csv,3,13,TO
collected_csvs\january\january_precipitation_3.csv,8,13,"3.0
30"
collected_csvs\january\january_precipitation_3.csv,13,13,20-30
collected_csvs\january\january_precipitation_3.csv,18,13,"3.0
23"
collected_csvs\january\january_precipitation_3.csv,20,13,"2.0
09"
collected_csvs\january\january_precipitation_3.csv,3,14,"TO
0./"
collected_csvs\january\january_precipitation_3.csv,7,14,"./
12"
collected_csvs\january\january_precipitation_3.csv,18,14,"2.0
17"
collected_csvs\january\january_precipitation_3.csv,5,15,"4½
40"
collected_csvs\january\january_precipitation_3.csv,15,15,"2. R
22"
collected_csvs\january\january_precipitation_3.csv,18,15,"2.0
.18"
collected_csvs\january\january_precipitation_3.csv,20,15,"1.0
.02"
collected_csvs\january\january_precipitation_3.csv,3,16,"1.5
12"
collected_csvs\january\january_precipitation_3.csv,5,16,"6
54"
collected_csvs\january\january_precipitation_3.csv,7,16,T
collected_csvs\january\january_precipitation_3.csv,8,16,T
collected_csvs\january\january_precipitation_3.csv,9,16,"10
07"
collected_csvs\january\january_precipitation_3.csv,11,16,"T2
0.02"
collected_csvs\january\january_precipitation_3.csv,12,16,TR
collected_csvs\january\january_precipitation_3.csv,17,16,"75
08"
collected_csvs\january\january_precipitation_3.csv,20,16,"1.7
10"
collected_csvs\january\january_precipitation_3.csv,3,17,"10
10"
collected_csvs\january\january_precipitation_3.csv,7,17,".3
.03"
collected_csvs\january\january_precipitation_3.csv,8,17,T
collected_csvs\january\january_precipitation_3.csv,9,17,T
collected_csvs\january\january_precipitation_3.csv,13,17,TR.
collected_csvs\january\january_precipitation_3.csv,18,17,"5.7
30"
collected_csvs\january\january_precipitation_3.csv,3,18,"10.3
03"
collected_csvs\january\january_precipitation_3.csv,5,18,"4
.36"
collected_csvs\january\january_precipitation_3.csv,7,18,"1.3
.12"
collected_csvs\january\january_precipitation_3.csv,12,18,TR
collected_csvs\january\january_precipitation_3.csv,17,18,"2
4"
collected_csvs\january\january_precipitation_3.csv,18,18,"2.4.
20"
collected_csvs\january\january_precipitation_3.csv,20,18,Tr.
collected_csvs\january\january_precipitation_3.csv,5,19,"4
.36"
collected_csvs\january\january_precipitation_3.csv,7,19,".2
.08"
collected_csvs\january\january_precipitation_3.csv,13,19,"1,0.
0.09"
collected_csvs\january\january_precipitation_3.csv,18,19,"1.8
04"
collected_csvs\january\january_precipitation_3.csv,4,20,"3.
34"
collected_csvs\january\january_precipitation_3.csv,11,20,"Tr
Ta"
collected_csvs\january\january_precipitation_3.csv,18,20,"3.2
25"
collected_csvs\january\january_precipitation_3.csv,20,20,Th
collected_csvs\january\january_precipitation_3.csv,9,21,T
collected_csvs\january\january_precipitation_3.csv,11,21,"6.5
0.96"
collected_csvs\january\january_precipitation_3.csv,17,21,Th
collected_csvs\january\january_precipitation_3.csv,18,21,"1.5
46"
collected_csvs\january\january_precipitation_3.csv,20,21,".2
1.01"
collected_csvs\january\january_precipitation_3.csv,1,22,"1.5
15"
collected_csvs\january\january_precipitation_3.csv,5,22,"71°
2"
collected_csvs\january\january_precipitation_3.csv,9,22,T
collected_csvs\january\january_precipitation_3.csv,11,22,"4.0
0.40"
collected_csvs\january\january_precipitation_3.csv,17,22,I
collected_csvs\january\january_precipitation_3.csv,18,22,Tr.
collected_csvs\january\january_precipitation_3.csv,19,22,Tr.
collected_csvs\january\january_precipitation_3.csv,8,23,T
collected_csvs\january\january_precipitation_3.csv,9,23,T
collected_csvs\january\january_precipitation_3.csv,11,23,"0.75
0.07"
collected_csvs\january\january_precipitation_3.csv,17,23,Tr.
collected_csvs\january\january_precipitation_3.csv,20,23,"1.7
.06"
collected_csvs\january\january_precipitation_3.csv,5,24,"2
16"
collected_csvs\january\january_precipitation_3.csv,9,24,T
collected_csvs\january\january_precipitation_3.csv,11,24,"0.50
0.05"
collected_csvs\january\january_precipitation_3.csv,18,24,"2.9
26"
collected_csvs\january\january_precipitation_3.csv,11,25,"0.50
0.05"
collected_csvs\january\january_precipitation_3.csv,12,25,"TR.
TR"
collected_csvs\january\january_precipitation_3.csv,16,25,tr.
collected_csvs\january\january_precipitation_3.csv,18,25,"07
bo.
60"
collected_csvs\january\january_precipitation_3.csv,20,25,"Tr
20"
collected_csvs\january\january_precipitation_3.csv,1,26,".75
075"
collected_csvs\january\january_precipitation_3.csv,5,26,70°
collected_csvs\january\january_precipitation_3.csv,8,26,"1.5
13"
collected_csvs\january\january_precipitation_3.csv,12,26,TR.
collected_csvs\january\january_precipitation_3.csv,15,26,"Th
45"
collected_csvs\january\january_precipitation_3.csv,5,27,tr
collected_csvs\january\january_precipitation_3.csv,10,27,T
collected_csvs\january\january_precipitation_3.csv,12,27,"TR.
TR"
collected_csvs\january\january_precipitation_3.csv,14,27,"-20
.02"
collected_csvs\january\january_precipitation_3.csv,18,27,"2.5
23"
collected_csvs\january\january_precipitation_3.csv,1,28,"5.0
50"
collected_csvs\january\january_precipitation_3.csv,9,28,T
collected_csvs\january\january_precipitation_3.csv,11,28,"1.75
8.17"
collected_csvs\january\january_precipitation_3.csv,14,28,"50
05"
collected_csvs\january\january_precipitation_3.csv,17,28,"2.5
10"
collected_csvs\january\january_precipitation_3.csv,18,28,"1.5
.10"
collected_csvs\january\january_precipitation_3.csv,5,29,"3/4
06"
collected_csvs\january\january_precipitation_3.csv,11,29,"2.0
0.20"
collected_csvs\january\january_precipitation_3.csv,14,29,"N.
Tv."
collected_csvs\january\january_precipitation_3.csv,18,29,"1.7
15"
collected_csvs\january\january_precipitation_3.csv,1,30,"3.0
30"
collected_csvs\january\january_precipitation_3.csv,10,30,T
collected_csvs\january\january_precipitation_3.csv,11,30,"4.0
0.40"
collected_csvs\january\january_precipitation_3.csv,14,30,"1.5
.15"
collected_csvs\january\january_precipitation_3.csv,6,31,"10%
0.1"
collected_csvs\january\january_precipitation_3.csv,7,31,T
collected_csvs\january\january_precipitation_3.csv,1,32,"5.0
50"
collected_csvs\january\january_precipitation_3.csv,6,32,"5
s"
collected_csvs\january\january_precipitation_3.csv,14,32,"20
102"
collected_csvs\january\january_precipitation_3.csv,15,32,Tr
collected_csvs\january\january_precipitation_3.csv,17,32,TY
collected_csvs\february\february_max_1.csv,18,31,Min
collected_csvs\february\february_max_2.csv,1,24,×
collected_csvs\september\september_max_2.csv,2,2,T&
collected_csvs\september\september_max_2.csv,20,3,"-67
65"
collected_csvs\september\september_max_2.csv,20,5,"82
79"
collected_csvs\september\september_max_2.csv,4,6,G
collected_csvs\september\september_max_2.csv,13,6,"V
23"
collected_csvs\september\september_max_2.csv,13,7,"J
78"
collected_csvs\september\september_max_2.csv,20,7,"85
8"
collected_csvs\september\september_max_2.csv,16,8,"77
21"
collected_csvs\september\september_max_2.csv,17,8,69'
collected_csvs\september\september_max_2.csv,20,8,"88
85"
collected_csvs\september\september_max_2.csv,13,9,7/
collected_csvs\september\september_max_2.csv,20,9,"88
199"
collected_csvs\september\september_max_2.csv,20,10,"752
66"
collected_csvs\september\september_max_2.csv,10,11,D
collected_csvs\september\september_max_2.csv,19,12,L2
collected_csvs\september\september_max_2.csv,20,12,"98
182"
collected_csvs\september\september_max_2.csv,20,13,"74
68"
collected_csvs\september\september_max_2.csv,14,14,"L
69"
collected_csvs\september\september_max_2.csv,15,14,"46
46"
collected_csvs\september\september_max_2.csv,20,14,"78
74"
collected_csvs\september\september_max_2.csv,20,15,"86
78"
collected_csvs\september\september_max_2.csv,20,16,BO
collected_csvs\september\september_max_2.csv,9,18,180°
collected_csvs\september\september_max_2.csv,12,18,"J
53"
collected_csvs\september\september_max_2.csv,20,18,"69
84"
collected_csvs\september\september_max_2.csv,20,19,"52
69"
collected_csvs\september\september_max_2.csv,20,21,"19
51"
collected_csvs\september\september_max_2.csv,1,22,"P
63"
collected_csvs\september\september_max_2.csv,19,22,"54
52"
collected_csvs\september\september_max_2.csv,20,22,"66
19"
collected_csvs\september\september_max_2.csv,3,23,7/
collected_csvs\september\september_max_2.csv,5,23,"L
67"
collected_csvs\september\september_max_2.csv,14,23,"50
50"
collected_csvs\september\september_max_2.csv,18,23,>>
collected_csvs\september\september_max_2.csv,20,23,"-73
66"
collected_csvs\september\september_max_2.csv,5,24,D
collected_csvs\september\september_max_2.csv,10,24,S
collected_csvs\september\september_max_2.csv,20,24,"77
73"
collected_csvs\september\september_max_2.csv,4,25,"L
59"
collected_csvs\september\september_max_2.csv,8,25,5)
collected_csvs\september\september_max_2.csv,20,25,"67
77"
collected_csvs\september\september_max_2.csv,1,26,DZ
collected_csvs\september\september_max_2.csv,20,26,"99
67"
collected_csvs\september\september_max_2.csv,4,27,G
collected_csvs\september\september_max_2.csv,20,27,"70
66"
collected_csvs\september\september_max_2.csv,20,28,"77.
27
70"
collected_csvs\september\september_max_2.csv,20,29,"82
ZZ"
collected_csvs\september\september_max_2.csv,5,30,"76
-6."
collected_csvs\september\september_max_2.csv,18,30,5-4
collected_csvs\september\september_max_2.csv,20,30,"728
82"
collected_csvs\september\september_max_2.csv,9,31,6./
collected_csvs\september\september_max_2.csv,13,31,So
collected_csvs\september\september_max_2.csv,20,31,"81
82"
collected_csvs\september\september_max_3.csv,2,2,T&
collected_csvs\september\september_max_3.csv,15,2,63°
collected_csvs\september\september_max_3.csv,20,2,"65
66"
collected_csvs\september\september_max_3.csv,20,3,"67
65"
collected_csvs\september\september_max_3.csv,17,5,"65
6."
collected_csvs\september\september_max_3.csv,20,5,"82
79"
collected_csvs\september\september_max_3.csv,13,6,"✓
23"
collected_csvs\september\september_max_3.csv,20,6,"89v
82"
collected_csvs\september\september_max_3.csv,3,7,J
collected_csvs\september\september_max_3.csv,13,7,"J
28"
collected_csvs\september\september_max_3.csv,20,7,"85
8"
collected_csvs\september\september_max_3.csv,10,8,"152
57"
collected_csvs\september\september_max_3.csv,16,8,"77
21"
collected_csvs\september\september_max_3.csv,20,8,"88.
85"
collected_csvs\september\september_max_3.csv,20,9,"88
199"
collected_csvs\september\september_max_3.csv,20,10,"752
66"
collected_csvs\september\september_max_3.csv,10,11,"D
23"
collected_csvs\september\september_max_3.csv,20,12,"-68
98"
collected_csvs\september\september_max_3.csv,20,13,"74
68"
collected_csvs\september\september_max_3.csv,20,14,"78
74"
collected_csvs\september\september_max_3.csv,20,15,"82
98"
collected_csvs\september\september_max_3.csv,20,16,"OR
81"
collected_csvs\september\september_max_3.csv,13,17,"6
29"
collected_csvs\september\september_max_3.csv,12,18,"53
r"
collected_csvs\september\september_max_3.csv,19,18,"20
L"
collected_csvs\september\september_max_3.csv,20,18,"69 L
84"
collected_csvs\september\september_max_3.csv,20,19,"52.
69"
collected_csvs\september\september_max_3.csv,18,21,"25
3"
collected_csvs\september\september_max_3.csv,20,21,"61
51"
collected_csvs\september\september_max_3.csv,1,22,"P
63"
collected_csvs\september\september_max_3.csv,19,22,"54
59"
collected_csvs\september\september_max_3.csv,20,22,"66
61"
collected_csvs\september\september_max_3.csv,5,23,G
collected_csvs\september\september_max_3.csv,13,23,"L
77"
collected_csvs\september\september_max_3.csv,20,23,"-73
66"
collected_csvs\september\september_max_3.csv,18,24,his
collected_csvs\september\september_max_3.csv,20,24,"77
73"
collected_csvs\september\september_max_3.csv,3,25,"69
2"
collected_csvs\september\september_max_3.csv,8,25,5)
collected_csvs\september\september_max_3.csv,20,25,"67
77"
collected_csvs\september\september_max_3.csv,20,26,"19
29"
collected_csvs\september\september_max_3.csv,20,27,"70
66"
collected_csvs\september\september_max_3.csv,16,28,J
collected_csvs\september\september_max_3.csv,20,28,"772
70"
collected_csvs\september\september_max_3.csv,2,29,OL
collected_csvs\september\september_max_3.csv,20,29,"82
77"
collected_csvs\september\september_max_3.csv,18,30,5-4
collected_csvs\september\september_max_3.csv,20,30,"822
82"
collected_csvs\september\september_max_3.csv,7,31,"64
54"
collected_csvs\september\september_max_3.csv,9,31,6./
collected_csvs\september\september_max_3.csv,13,31,So
collected_csvs\september\september_max_3.csv,20,31,"81
82"
collected_csvs\september\september_precipitation_1.csv,11,22,troc
collected_csvs\october\october_precipitation_1.csv,16,3,",01"
collected_csvs\october\october_precipitation_1.csv,17,4,to
collected_csvs\october\october_precipitation_1.csv,20,4,10'
collected_csvs\october\october_precipitation_1.csv,11,5,8th
collected_csvs\october\october_precipitation_1.csv,11,7,trace
collected_csvs\october\october_precipitation_1.csv,11,10,QG
collected_csvs\october\october_precipitation_1.csv,7,11,",07"
collected_csvs\october\october_precipitation_1.csv,19,12,Tr
collected_csvs\october\october_precipitation_1.csv,19,13,Tr.
collected_csvs\october\october_precipitation_1.csv,15,14,tr
collected_csvs\october\october_precipitation_1.csv,1,16,ace
collected_csvs\october\october_precipitation_1.csv,20,17,",05"
collected_csvs\october\october_precipitation_1.csv,16,20,"Tr
.20"
collected_csvs\october\october_precipitation_1.csv,16,21,"Tr
.30"
collected_csvs\october\october_precipitation_1.csv,2,25,titi
collected_csvs\october\october_precipitation_1.csv,2,26,SH
collected_csvs\october\october_precipitation_1.csv,11,29,",07"
collected_csvs\october\october_precipitation_1.csv,15,29,ti.
collected_csvs\october\october_precipitation_1.csv,9,30,T
collected_csvs\october\october_precipitation_2.csv,8,3,"3
28"
collected_csvs\october\october_precipitation_2.csv,1,5,70°
collected_csvs\october\october_precipitation_2.csv,15,5,tr
collected_csvs\october\october_precipitation_2.csv,17,5,N
collected_csvs\october\october_precipitation_2.csv,19,5,70°
collected_csvs\october\october_precipitation_2.csv,1,7,"97"""
collected_csvs\october\october_precipitation_2.csv,15,12,tr
collected_csvs\october\october_precipitation_2.csv,15,24,899°
collected_csvs\october\october_precipitation_2.csv,8,29,fro
collected_csvs\october\october_precipitation_2.csv,15,30,tr
collected_csvs\october\october_precipitation_2.csv,2,31,M
collected_csvs\october\october_precipitation_2.csv,10,32,"91"""
collected_csvs\october\october_precipitation_3.csv,11,2,A
collected_csvs\october\october_precipitation_3.csv,5,3,/7
collected_csvs\october\october_precipitation_3.csv,8,3,T
collected_csvs\october\october_precipitation_3.csv,15,3,:32
collected_csvs\october\october_precipitation_3.csv,10,4,T
collected_csvs\october\october_precipitation_3.csv,5,6,19°
collected_csvs\october\october_precipitation_3.csv,8,6,T
collected_csvs\october\october_precipitation_3.csv,15,6,20°
collected_csvs\october\october_precipitation_3.csv,2,7,Trace
collected_csvs\october\october_precipitation_3.csv,6,7,10°
collected_csvs\october\october_precipitation_3.csv,18,7,ET
collected_csvs\october\october_precipitation_3.csv,19,8,Th
collected_csvs\october\october_precipitation_3.csv,15,10,IN
collected_csvs\october\october_precipitation_3.csv,8,13,T
collected_csvs\october\october_precipitation_3.csv,11,13,TR.
collected_csvs\october\october_precipitation_3.csv,15,15,IN
collected_csvs\october\october_precipitation_3.csv,1,17,trace
collected_csvs\october\october_precipitation_3.csv,15,18,20°
collected_csvs\october\october_precipitation_3.csv,1,21,trac
collected_csvs\october\october_precipitation_3.csv,9,21,T
collected_csvs\october\october_precipitation_3.csv,10,21,T
collected_csvs\october\october_precipitation_3.csv,2,22,Track
collected_csvs\october\october_precipitation_3.csv,3,22,"17
217"
collected_csvs\october\october_precipitation_3.csv,11,23,"TR.
40"
collected_csvs\october\october_precipitation_3.csv,12,23,TR
collected_csvs\october\october_precipitation_3.csv,13,23,"Lob
06"
collected_csvs\october\october_precipitation_3.csv,8,24,T
collected_csvs\october\october_precipitation_3.csv,11,24,"TR.
13"
collected_csvs\october\october_precipitation_3.csv,20,25,Tr.
collected_csvs\october\october_precipitation_3.csv,11,26,",02"
collected_csvs\october\october_precipitation_3.csv,2,27,Trace
collected_csvs\october\october_precipitation_3.csv,3,28,"5
0.05"
collected_csvs\october\october_precipitation_3.csv,13,28,tro
collected_csvs\october\october_precipitation_3.csv,14,28,IN
collected_csvs\october\october_precipitation_3.csv,15,28,90°
collected_csvs\october\october_precipitation_3.csv,8,29,T
collected_csvs\october\october_precipitation_3.csv,10,29,T
collected_csvs\october\october_precipitation_3.csv,9,30,2/
collected_csvs\october\october_precipitation_3.csv,12,30,TR
collected_csvs\october\october_precipitation_3.csv,13,30,tr
collected_csvs\october\october_precipitation_3.csv,13,31,tr
collected_csvs\october\october_precipitation_3.csv,20,31,Th
collected_csvs\october\october_precipitation_3.csv,11,32,"TR.
TR"
collected_csvs\october\october_precipitation_3.csv,20,32,80-
collected_csvs\november\november_min_1.csv,11,4,"3
38"
collected_csvs\november\november_min_1.csv,13,4,"J
42"
collected_csvs\november\november_min_1.csv,19,4,3/
collected_csvs\november\november_min_1.csv,17,6,x
collected_csvs\november\november_min_1.csv,19,6,3/
collected_csvs\november\november_min_1.csv,18,7,"44
tifi"
collected_csvs\november\november_min_1.csv,3,8,"J
30"
collected_csvs\november\november_min_1.csv,13,8,"L
32"
collected_csvs\november\november_min_1.csv,2,9,"43
63"
collected_csvs\november\november_min_1.csv,4,9,"2
37"
collected_csvs\november\november_min_1.csv,13,9,"J
34"
collected_csvs\november\november_min_1.csv,19,9,3/
collected_csvs\november\november_min_1.csv,19,11,/7
collected_csvs\november\november_min_1.csv,12,12,x
collected_csvs\november\november_min_1.csv,18,12,ng
collected_csvs\november\november_min_1.csv,14,13,"44
44"
collected_csvs\november\november_min_1.csv,9,14,-50-
collected_csvs\november\november_min_1.csv,12,15,x
collected_csvs\november\november_min_1.csv,12,16,X
collected_csvs\november\november_min_1.csv,6,18,"L
25"
collected_csvs\november\november_min_1.csv,3,20,"J
35"
collected_csvs\november\november_min_1.csv,17,20,x
collected_csvs\november\november_min_1.csv,14,22,"30
36"
collected_csvs\november\november_min_1.csv,18,22,3 2
collected_csvs\november\november_min_1.csv,18,23,3/
collected_csvs\november\november_min_1.csv,19,24,3/
collected_csvs\november\november_min_1.csv,19,25,3/
collected_csvs\november\november_min_1.csv,19,28,2.2.
collected_csvs\november\november_min_1.csv,5,29,"L
3"
collected_csvs\november\november_min_1.csv,14,30,2/
collected_csvs\november\november_min_1.csv,2,31,"33
35"
collected_csvs\november\november_min_1.csv,13,31,"20
30"
collected_csvs\november\november_min_2.csv,13,2,ba
collected_csvs\november\november_min_2.csv,18,2,"38
38"
collected_csvs\november\november_min_2.csv,20,3,"✓
38"
collected_csvs\november\november_min_2.csv,2,5,GIT
collected_csvs\november\november_min_2.csv,3,5,ht
collected_csvs\november\november_min_2.csv,8,5,IC
collected_csvs\november\november_min_2.csv,4,6,"Ta
3"
collected_csvs\november\november_min_2.csv,19,8,"44"""
collected_csvs\november\november_min_2.csv,20,8,"2
38"
collected_csvs\november\november_min_2.csv,3,11,ZZ
collected_csvs\november\november_min_2.csv,5,11,"2,7"
collected_csvs\november\november_min_2.csv,2,12,L
collected_csvs\november\november_min_2.csv,4,12,til
collected_csvs\november\november_min_2.csv,1,14,"✓
23"
collected_csvs\november\november_min_2.csv,18,14,se
collected_csvs\november\november_min_2.csv,20,14,"137
V"
collected_csvs\november\november_min_2.csv,4,15,9/
collected_csvs\november\november_min_2.csv,16,15,J6
collected_csvs\november\november_min_2.csv,17,15,"30
30"
collected_csvs\november\november_min_2.csv,4,17,J
